Unique Identifier	Identifier Source	Meida Type	Physical Format	Digital Format	Encoding	File Size	Generations	Duration	Location	Title	Asset Type	Asset Date	Subject(s)	Description	Description Type	Genre	Genre Authority Used	Relation	Relation Type	Coverage	Coverage Type	Language	Creator	Creator Role	Contributor	Contributor Role	Contributor	Contributor Role	Contributor	Contributer Role	Publisher	Publisher Role	Rights Summary	Annotation	Unique Item?	Notes	Cataloger	Last Updated
					(Right click on video, look at "codecs") https://www.loc.gov/preservation/digital/formats/fdd/video_fdd.shtml 		Master or Access?		Physical location of item	Title of the asset	List of types: https://pbcore.org/pbcore-controlled-vocabularies/pbcoreassettype-vocabulary/	Date formats: https://www.loc.gov/standards/datetime/ 	Search subject headings by Library of Congress: https://id.loc.gov/authorities/subjects.html or use other controlled vocabularies (sets of words/definitions meant to keep subjects/keywords consistent)	Free-form text (write what you want)		Moving Image genres and their definitions can be found here: https://www.loc.gov/rr/mopic/miggen 		Can be associated with another asset (such as an episode being associated with the series it is a part of; you woud put the series here)	Types of relations: https://pbcore.org/pbcore-controlled-vocabularies/pbcorerelationtype-vocabulary/	Info about coverage: https://pbcore.org/elements/coverage	Specify if you chose coverage of time (date, temporal) or space (location, spatial)		Name of person or entity 	List of roles: https://pbcore.org/pbcore-controlled-vocabularies/creatorrole-and-contributorrole-vocabulary/ 	Names of anyone who significantly contributed to the asset.	https://pbcore.org/pbcore-controlled-vocabularies/creatorrole-and-contributorrole-vocabulary/					Name of publisher		Fee-form text to mention copyrights/property rights	https://pbcore.org/elements/pbcoreannotation 				
cpb-aacip/127-00ns1t6z	AAPB ID	Moving Image	U-matic	Video/quicktime	MPEG-4 AVC	202.8 MB	Access	00:31:22	Summit Day Media	Waves of Wisdom 1	Episode	1980/1999	Winter, Fall, Autumn, Indigenous elders, Indigenous leatherwork, Indigenous men, Fish trapping, Fish traps, Fish skins, Blackfish, Kayaks, Relocation, Migration, Admonishments, Wood, Spruce, Indigenous wood-carving--Noth America, Alaska Natives, Indigenous peoples--North America, Indigenous peoples--Alaska--Languages, Yugtun, Yup'ik, Yupiit, Traditional knowledge, Traditional wisdom, Fall camps, Winter camps, Spring camps, Weaving, Alaska Native radio stations, Indigenous peoples--North America--Interviews, Uksuaq, Uksuilleq, Taluyaq, Taluyat, Can'giiq, Imarmiutaq, Cuignilnguq, Murak, Neqa, Neqet, Amiq, Canek, Can'get, Inerquutet, Qanruyutet, Qasgiq, Qamut, Amiriit, Tegganeq, Qanruyutet, Qaneryarat, Inerquutet	English: Interview with elder Ackiar Nick Lupie about the community house, preparing for the winter in the spring and fall in the past by gathering wood, fish traps, mink and otter traps, women gathering and weaving grass, preparing fish skins for clothes, aging urine, adages for the wilderness (being too noisy), only making noise when in danger. Yugtun: Ackiar (Nick Lupie) Tuntutuliarmiu interview-ami qalartellruuq uksuarmi up'ngelallritnek. Qalarutekluki taluyat ayuqenrilngurnek, neqet qeciit teq'uciriyaraatnek, canegnek uptetullritnek, ayagaaqameng-llu inerquutnek uksuarmi.	Item	Interview, Ethnic (Nonfiction). Ethnographic	Library of Congress Moving Image Genre-Form Guide	Waves of Wisdom Series	Is Part Of	Yukon-Kuskokwim Delta, Alaska	Spatial	Yugtun	KYUK	Executive Producer	Ackiar Nick Lupie (Tuntutuliaq, Tuntutuliak)	Interviewee	Uquuviar Olinka "Ollie" Andrew	Interviewer			American Archive of Public Broadcasting	Distributor	Copyright Holder: KYUK-TV, Bethel Broadcasting, Inc., 640 Radio Street, Pouch 468, Bethel, AK 99559 ; (907) 543-3131 ; www.kyuk.org	Library of Congress Subject Headings, Indigenous Subject Headings by the Association for Manitoba Archives LCSH revisions, Library of Congress Moving Image Genre/Form Guide, Yup'ik Eskimo Dictionary 2nd Edition by Steven A. Jacobson, http://yugtun.com/ 	Yes		Juliana Clark	2022-08-10
cpb-aacip/127-03cz8zdq	AAPB ID	Moving Image	U-matic	Video/quicktime	MPEG-4 AVC	143.7 MB	Access	00:22:24	Summit Day Media	Waves of Wisdom 2	Episode	1980/1999	Indigenous elders, Indigenous ethics, Indigenous practice, Indigenous men, Indigenous healers, Alaska Natives, Indigenous peples--North America, Indigenous peoples--Alaska--Languages, Yugtun, Yup'ik, Yupiit, Reindeer herders, Fur traders, Fire baths, Steam baths, Alaska Native radio stations, Indigenous peoples--North America--Interviews, Qasgiq, Teglegyaraq, Angalkuk, Tuntu, Tunciuryaraq, Kegluneq, Melqulek, Qaneryaraq, Ayaruq, Ayarut, Yuungcarat, Tegganeq, Qanruyutet, Qaneryarat, Inerquutet	English: Interview with elder James Guy about reindeer herding, admonishments against stealing, adages concerning walking staffs, men instructing in the community house, people treated by shamans in utero, how to respectfully take others’ supplies, admonishments against wandering about at night, continuing Yup’ik language and Westernization, squirrel hunting, trading fur, dangers of snow and how to avoid them using walking staffs. Yugtun: James Guy Kuigglugmiu interview-arluni ciumek qasgimi qanengssaallernek qallatellruuq tua-i-llu teglenritesqelluki yuut. Cali-llu Aavaaq-am yuungcallranek angalkugmek qallalluni. Tua-llu tunciuryaramek tuntunek-llu maagillrani Akiacuarmi qallatellruuq cali-llu keglunernek anguyagten̄ek-llu tuntut pitekluki. Tua-llu cali qallalluni ukut: yuilqumi akingengnaqurallermek melqulegteggun muriuryaratgun-llu, ayagyuat Yugtun qaneryaraput cagmangluku, ayarum atullerkaa arcaqerluku.	Item	Interview, Ethnic (Nonfiction), Ethnographic	Library of Congress Moving Image Genre-Form Guide	Waves of Wisdom Series	Is Part Of	Yukon-Kuskokwim Delta, Alaska	Spatial	Yugtun	KYUK	Executive Producer	James Guy (Kuiggluk, Kwethluk)	Interviewee	Aqumgaciq John Active	Interviewer	Dean Swope	Camera Operator	American Archive of Public Broadcasting	Distributor	Copyright Holder: KYUK-TV, Bethel Broadcasting, Inc., 640 Radio Street, Pouch 468, Bethel, AK 99559 ; (907) 543-3131 ; www.kyuk.org	Library of Congress Subject Headings, Indigenous Subject Headings by the Association for Manitoba Archives LCSH revisions, Library of Congress Moving Image Genre/Form Guide, Yup'ik Eskimo Dictionary 2nd Edition by Steven A. Jacobson, http://yugtun.com/ 	Yes		Juliana Clark	2022-08-10
cpb-aacip/127-06g1jzz6	AAPB ID	Moving Image	U-matic	Video/quicktime	MPEG-4 AVC	141.7 MB	Access	00:21:59	Summit Day Media	Waves of Wisdom 3	Episode	1980/1999	Indigenous elders, Indigenous men, Traditional knowledge, Traditional wisdom, Alaska Natives, Indigenous peoples--North America, Indigenous peoples--Alaska--Languages, Yugtun, Yup'ik, Yupiit, Staffs (Sticks, canes, etc.), Dogsledding, Search and rescue operations, Alaska Native radio stations, Yuartet, Anangnaqsaraq, Qimugta, Qimugciryaraq, Alangru, Ayarut, Ayaruq, Iterneq, Tegganeq, Qanruyutet, Qaneryarat, Inerquutet	English: Five elders talk about walking sticks, dog mushing, dog sledding, a supernatural experience with a cold draft, and search and rescue. Yugtun: Quyurtellratni ukut angutet qalartellruut: **Angun1** (Paul Gregory) quyurtellrat ayagnillrua tua-llu **Angun2** (Peter ??), yuartet pitekluki, quyavikellrua kevgaq ikayuutelallruan. Taum kinguani **Angun3** (James Peter) ayuqucirtullruuq kiskuneng alerquutnek allanek-llu qanruyutnek, tua-llu **Angun4** (Fred Evan) quyavikellrui yuartet. Nangnerani **Angun5** (??) qimugten̄ek qimugciryaranek-llu qalartellruuq qanemciluni-llu alangrullrani iternerkun tua-llu**Angun1** (Paul Gregory) cali qimugten̄ek qalartenqigterraarluni quyurtellrat arulaircetaa.	Item	Talk, Ethnic (Nonfiction), Ethnographic	Library of Congress Moving Image Genre-Form Guide	Waves of Wisdom Series	Is Part Of	Yukon-Kuskokwim Delta, Alaska	Spatial	Yugtun	KYUK	Executive Producer	Cingliaq Paul Gregory (Bethel), Peter Isaac (Bethel), Ayaprun James Peter (Kipnuk, Bethel), Nanugaq Fred Evan (Napakiak, Bethel), Paniguaq Peter Jacob (Bethel)	Speakers					American Archive of Public Broadcasting	Distributor	Copyright Holder: KYUK-TV, Bethel Broadcasting, Inc., 640 Radio Street, Pouch 468, Bethel, AK 99559 ; (907) 543-3131 ; www.kyuk.org	Library of Congress Subject Headings, Indigenous Subject Headings by the Association for Manitoba Archives LCSH revisions, Library of Congress Moving Image Genre/Form Guide, Yup'ik Eskimo Dictionary 2nd Edition by Steven A. Jacobson, http://yugtun.com/ 	Yes		Juliana Clark	2022-08-10
cpb-aacip/127-06g1k008	AAPB ID	Moving Image	U-matic	Video/quicktime	MPEG-4 AVC	146.1 MB	Access	00:22:42	Summit Day Media	Waves of Wisdom 4	Episode	1980/1999	Indigenous elders, Indigenous men, Indigenous women, Traditional knowledge, Traditional wisdom, Traditional practice, Alaska Natives, Indigenous peoples--North America, Indigenous peoples--Alaska--Languages, Yugtun, Yup'ik, Yupiit, Bearded seal, Seals (Animals), Sealing, Bears, Indigenous peoples--Social life and customs, Indigenous peoples--Rights and ceremonies, Indigenous peoples--North America--Folklore, Alaska Native radio stations, Indigenous peoples--North America--Interviews, Cugtun, Taqukaq, Tan'gerliq, Nakacuut, Piyagaq, Ayaruq, Angalkuq, Uqiquryaraq, Uqiquq, Tegganeq, Qanruyutet, Qaneryarat, Inerquutet	English: Elders talk about seal hunting, giving water to seals they catch, distributing first catches of the spring to the village, applying bear saliva to faces and hands for protections against bear attacks, giving bears walking staffs to distract them before shooting, and the Boy Who Lived with Seals. Yugtun: Quyurtellratni ukut yuut qalartellruut: **Angun1** (??) **Angun?**-llu (Edward Weiss) qalartellruuk taqukam tan'gerlim-llu nuagakun kegginamegta minguuciatnek piciryarallratnek. **Angun?** (Kurt Bell) **Angun2** (??) **Angun1**-llu (??) nakacugnek qalartellruut. Tua-llu **Angun?** (Kurt Bell) inerqullrui nutegyasqevkenaki piyagat tengmiat-llu piyagangqellriit. **Angun3** (??) pitamegta kencikuciatnek qalarrluni tua-llu **Arnaq1**-am (Larissa ??), qaneryaraput nalluyagutesqevkenaku tungiinun, KYUK-aq cingumallrua tegganret qanercetelluki radio-mi. **Angun?** (Edward Weiss) ayarunek tan'gerlirnek-llu qalartellruuq. Nangnerani-llu **Angun?** (Phillip Moses) Nunakauyarmiu **Angun3**-llu angalkugnek uqiquryaramek-llu qalartellruuk.	Item	Interview, Ethnic (Nonfiction), Ethnographic	Library of Congress Moving Image Genre-Form Guide	Waves of Wisdom Series	Is Part Of	Yukon-Kuskokwim Delta, Alaska	Spatial	Yugtun	KYUK	Executive Producer	Kelucaq Joe Andrew (Bethel), Kurt Bell (Hooper Bay?), Mikngayaq Mik'aq Eliza Chase (Bethel), Maqarualek Edward Weiss (Tuluksak), Ayagkaq Wassilie B. Evan (Napakiak), Phillip Moses, Urutaq Lucy Beaver (Bethel)	Interviewee	Sophie Alexie	Moderator			American Archive of Public Broadcasting	Distributor	Copyright Holder: KYUK-TV, Bethel Broadcasting, Inc., 640 Radio Street, Pouch 468, Bethel, AK 99559 ; (907) 543-3131 ; www.kyuk.org	Library of Congress Subject Headings, Indigenous Subject Headings by the Association for Manitoba Archives LCSH revisions, Library of Congress Moving Image Genre/Form Guide, Yup'ik Eskimo Dictionary 2nd Edition by Steven A. Jacobson, http://yugtun.com/ 	Yes		Juliana Clark	2022-08-10
cpb-aacip/127-09w0vx3c	AAPB ID	Moving Image	U-matic	Video/quicktime	MPEG-4 AVC	115.9 MB	Access	00:18:02	Summit Day Media	Waves of Wisdom 5	Episode	1980/1999	Indigenous elders, Indigenous women, Indigenous men, Traditional knowledge, Traditional wisdom, Traditional practice, Alaska Natives, Indigenous peoples--North America, Indigenous peoples--Alaska--Languages, Yugtun, Yup'ik, Yupiit, Relocation, Migration, Spring, Summer, Festivals, Food--Preservation, Alaska Native radio stations, Indigenous peoples--North America--Interviews, Mamterilleq, Kuigpak, Up'nerkaq, Up'nerkilleq, Ciku, Qanikcaq, Ulerpak, Avgarutaaryaraq, Kumlivik, Tegganeq, Qanruyutet, Qaneryarat, Inerquutet	English: Interview with elders Uliggaq Martha Sarah and Kumangulria Matthew Bean. They talk about gauging flooding when the snow and ice melt, preparing for spring camp by getting boats, food, fish traps, and tents ready, Avgutaaryaraq (Sharing Festival), summer camp, and natural freezers. Yugtun: Uliggaq (Martha Sarah) Mamteriller, Kumangulria-llu (Matthew Bean) Kuigpagmiunguluni Mamterillermiunguluni-llu qalartellruuk up'nerkamek up'nerkiyallerkamek-llu. Cali-llu cikunek qanikcanek ulerpagnek-llu up'nerkami, Avgarutaaryaramek, kumlillranek-llu qalarrlutek.	Item	Interview, Ethnic (Nonfiction), Ethnographic	Library of Congress Moving Image Genre-Form Guide	Waves of Wisdom Series	Is Part Of	Yukon-Kuskokwim Delta, Alaska	Spatial	Yugtun	KYUK	Executive Producer	Uliggaq Martha Oscar Sara (Bethel), Kumangulria Matthew Bean (Bethel, Yukon? Acacaryun? Mountain Village?)	Interviewees	Atmak Lillian Michaels	Interviewer			American Archive of Public Broadcasting	Distributor	Copyright Holder: KYUK-TV, Bethel Broadcasting, Inc., 640 Radio Street, Pouch 468, Bethel, AK 99559 ; (907) 543-3131 ; www.kyuk.org	Library of Congress Subject Headings, Indigenous Subject Headings by the Association for Manitoba Archives LCSH revisions, Library of Congress Moving Image Genre/Form Guide, Yup'ik Eskimo Dictionary 2nd Edition by Steven A. Jacobson, http://yugtun.com/ 	Yes		Juliana Clark	2022-08-10
cpb-aacip/127-009w0z0q	AAPB ID	Moving Image	U-matic	Video/quicktime	MPEG-4 AVC	400 MB	Access	01:02:35	Summit Day Media	Waves of Wisdom 6	Episode	1991	Indigenous ethics, Indigenous elders, Indigenous families, Indigenous men, Alaska Natives, Spitiruality--Indigenous--North America, Indigenous philosophy-- North America, Indigenous peoples--North America, Indigenous peoples--Alaska--Languages, Yugtun, Yup'ik, Yupiit, Christianity, Suppression of language, Traditional knowledge, Traditional wisdom, Environmentalism, Environmentalism--Religious aspects, Land stewardship, Cleaning up, Alaska Native radio stations, Indigenous peoples--North America--Interviews, Qaneryaraq, Kencikiyaraq, Naklekiyaraq, Piciuyaraq, Uqlaneq, Anglicarilleq, Nengauk, Alerquun, Teglegyaraq, Kevgiurturyaraq, Tegganeq, Qanruyutet, Qaneryarat, Inerquutet	English: Interview with elder Maqista Ac’urunaq Joshua Phillip about the preservation of the Yup'ik language, taking care of the land and water, pollution, traditional wisdom concerning treating people with love and acceptance, compassion and truthfulness. Also includes clips of medical clinic; Togiak video; Nasaurlormiut Yupiit Elders Kasgiat. Yugtun: Ac'urunaq (nickname-aqluku Maqista) (Kass'atun Joshua Phillip) **Camiu** qallatellruuq interview-ami Yugtun qaneryaram tamanritlerkaanek, yuum kencikiyaraanek naklekiyarakun piciuyarakun, nunam mer'em-llu auluklerkaatnek uqlanermek. Cali-llu qallatellruuq irniam anglicarillranek, nengaungellermek, qanrucunarianek, irniam ayagatesqenritlerkaanek, teglenritlermek-llu.	Item	Interview, Ethnic (Nonfiction), Ethnographic	Library of Congress Moving Image Genre-Form Guide	Waves of Wisdom Series	Is Part Of	Yukon-Kuskokwim Delta, Alaska	Spatial	Yugtun	KYUK	Executive Producer	Maqista Ac'urunaq Joshua Phillip (Tuluksak, Qinaq)	Interviewee	Kakianeq Adolph Lewis (Kuigilnguq, Kwigillingok)	Interviewer			American Archive of Public Broadcasting	Distributor	Copyright Holder: KYUK-TV, Bethel Broadcasting, Inc., 640 Radio Street, Pouch 468, Bethel, AK 99559 ; (907) 543-3131 ; www.kyuk.org	Library of Congress Subject Headings, Indigenous Subject Headings by the Association for Manitoba Archives LCSH revisions, Library of Congress Moving Image Genre/Form Guide, Yup'ik Eskimo Dictionary 2nd Edition by Steven A. Jacobson, http://yugtun.com/ 	Yes		Juliana Clark	2022-08-10
cpb-aacip/127-10jsxpvr	AAPB ID	Moving Image	U-matic	Video/quicktime	MPEG-4 AVC	144.3 MB	Access	00:22:23	Summit Day Media	Waves of Wisdom 7	Episode	1980/1999	Indigenous elders, Indigenous women, Indigenous men, Traditional knowledge, Traditional wisdom, Traditional practice, Alaska Natives, Indigenous peoples--North America, Indigenous peoples--Alaska--Languages, Indigenous peoples--Social life and customs, Yugtun, Yup'ik, Yupiit, Spring, Menstruation, Periods, Abstinence (Menstruation), Miscarriages, Burial, Grave goods, Tomb, Ice spuds, Alaska Native radio stations, Indigenous peoples--North America--Interviews, Up'nerkaq, Up'nerkilleq, Ayaruq, Cikuliurun, Qanganaq, Unkumiutaq, Puga, Merr'icaraq, Aglenraraq, Irnicualleq, Eyagyaraq, Iraluq, Qunguq, Akluq, Calirpagyaraq, Ayagyuaq, Taangaq, Ellminek Tuqutellerkaq, Nerangnaqsaraq, Taluyaq, Takaqiyaraq, Tegganeq, Qaneryaraq, Tegganeq, Qanruyutet, Qaneryarat, Inerquutet	English: Interview with elders Neviar Qakvaralria Lucy Nicholai and Cialuq Paul G. Nicholai. They talk about admonishments in spring, walking staffs, giving water and food to animals that were caught, first mensturation practices, abstaining during menstruation, using personal belongings as grave markers, admonishments for girls, admonishments for boys, young people these days, subsistence, ancestors, why young people should learn Yugtun, and Kwethluk. Yutgun: Cialuq (Paul G. Nicholai) and Neviar-llu (atpiara Qakvaralria ellangluni-llu Iigmi; Lucy Nicholai) Kuigglugmiungulutek (from Kwethluk) amllernek ayuqenrilngurnek qalartellruuk. Ayaruq wall'u cikuliurun up'nerkami nantesqevkenaku; inerquutet alerquutet-llu maliggluki; eyagyaram alerquutainek; qungumi akiutnek; ayagyuat akusrartellritnek; canek-llu allanek qalartellruuk.  	Item	Interview, Ethnic (Nonfiction), Ethnographic	Library of Congress Moving Image Genre-Form Guide	Waves of Wisdom Series	Is Part Of	Yukon-Kuskokwim Delta, Alaska	Spatial	Yugtun	KYUK	Executive Producer	Neviar Qakvaralria Lucy Nicholai (Eek, Kuiggluk, Kwethluk), Cialuq Paul G. Nicholai (Kuiggluk, Kwethluk)	Interviewees	Aqumgaciq John Active	Interviewer	Dean Swope	Camera Operator	American Archive of Public Broadcasting	Distributor	Copyright Holder: KYUK-TV, Bethel Broadcasting, Inc., 640 Radio Street, Pouch 468, Bethel, AK 99559 ; (907) 543-3131 ; www.kyuk.org	Library of Congress Subject Headings, Indigenous Subject Headings by the Association for Manitoba Archives LCSH revisions, Library of Congress Moving Image Genre/Form Guide, Yup'ik Eskimo Dictionary 2nd Edition by Steven A. Jacobson, http://yugtun.com/ 	Yes		Juliana Clark	2022-08-10
cpb-aacip/127-10jsxpwg	AAPB ID	Moving Image	U-matic	Video/quicktime	MPEG-4 AVC	144.6 MB	Access	00:22:28	Summit Day Media	Waves of Wisdom 8	Episode	1980/1999	Indigenous elders, Indigenous women, Indigenous men, Traditional knowledge, Traditional wisdom, Traditional practice, Alaska Natives, Indigenous peoples--North America, Indigenous peoples--Alaska--Languages, Indigenous peoples--Social life and customs, Yugtun, Yup'ik, Yupiit, Food--Preservation, Hunting, Berries--Harvesting, Alaska Native radio stations, Indigenous peoples--North America--Interviews, Cugtun, Mamterilleq, Alerquun, Yuilqurmiutaq, Kencikiyaraq, Nuna, Nunamiutaq, Iqavaryaraq, Auluksaraq, Yaqulek, Negaq, Qangqiiq, Kayanguq, Piyagaq, Merr'icaraq, Tegganeq, Qanruyutet, Qaneryarat, Inerquutet	English: Interview with elders Urutaq Lucy Beaver, Kelucaq Joe Andrew, and Kurt Bell about subsistence and using the entire animal that was hunted, not stealing other peoples' food, what was done with animal bones and food scraps, picking berries, preserving bird meat, finding and storing eggs, pollution, and giving water to seals that were hunted. Yugtun: Kelucaq (Joe Andrew) Urutaq-llu (Lucy Beaver) qalartellruuk Mamterillermi alerquutnek yuilqurmiutarnek, kencikiyaraanek nunam, cali-llu auluksaranek yaqulegnek kayangunek-llu. Kinguani **Angun2** (Kurt Bell) merr'icaramek qalarrluni.	Item	Interview, Ethnic (Nonfiction), Ethnographic	Library of Congress Moving Image Genre-Form Guide	Waves of Wisdom Series	Is Part Of	Yukon-Kuskokwim Delta, Alaska	Spatial	Yugtun	KYUK	Executive Producer	Urutaq Lucy Beaver (Bethel), Kelucaq Joe Andrew (Bethel), Kurt Bell (Hooper Bay?)	Interviewees	Sophie Alexie	Moderator			American Archive of Public Broadcasting	Distributor	Copyright Holder: KYUK-TV, Bethel Broadcasting, Inc., 640 Radio Street, Pouch 468, Bethel, AK 99559 ; (907) 543-3131 ; www.kyuk.org	Library of Congress Subject Headings, Indigenous Subject Headings by the Association for Manitoba Archives LCSH revisions, Library of Congress Moving Image Genre/Form Guide, Yup'ik Eskimo Dictionary 2nd Edition by Steven A. Jacobson, http://yugtun.com/ 	Yes		Juliana Clark	2022-08-10
cpb-aacip/127-10jsxpx6	AAPB ID	Moving Image	U-matic	Video/quicktime	MPEG-4 AVC	140.3 MB	Access	00:21:49	Summit Day Media	Waves of Wisdom 9	Episode	1980/1999	Indigenous elders, Indigenous men, Traditional knowledge, Traditional wisdom, Traditional practice, Indigenous ethics, Alaska Natives, Indigenous peoples--North America, Indigenous peoples--Alaska--Languages, Yugtun, Yup'ik, Yupiit, Community houses, Steam baths, Transport planes, Barge-carrying ships, Alaska Native radio stations,Indigenous peoples--North America--Interviews, Mamterilleq, Qasgiq, Kencikiyaraq, Aipanglleq, Taangaq, Qanruyun, Kass'artaq, Sun'aq, Tegganeq, Qanruyutet, Qaneryarat, Inerquutet	English: Interview with elder Allranitailnguq Allran'aq Joe Chief Sr. He talks about how Bethel used to be, the community house, steam baths, white people, cargo planes, the barge, church, and wages. Yugtun: Allranitailnguq Allran'aq (Joe Chief Sr.) Urucararmiungullruluni qalartellruuq Mamterillrem ayuqucianek anglirillrani. Tua-i-llu amllernek qanruyutnek qalarrluni ukut ilakluki: nunavut kencikesqelluku, pisciigalnguut ikayuasqelluki, qanruyutvut-llu atauciuyaaqngatliniluni.	Item	Interview, Ethnic (Nonfiction), Ethnographic	Library of Congress Moving Image Genre-Form Guide	Waves of Wisdom Series	Is Part Of	Yukon-Kuskokwim Delta, Alaska	Spatial	Yugtun	KYUK	Executive Producer	Allranitailnguq Allran'aq Joe Chief Sr. (Urucaraq, Bethel)	Interviewee	Kakianeq Adolph Lewis (Kuigilnguq, Kwigillingok)	Interviewer			American Archive of Public Broadcasting	Distributor	Copyright Holder: KYUK-TV, Bethel Broadcasting, Inc., 640 Radio Street, Pouch 468, Bethel, AK 99559 ; (907) 543-3131 ; www.kyuk.org	Library of Congress Subject Headings, Indigenous Subject Headings by the Association for Manitoba Archives LCSH revisions, Library of Congress Moving Image Genre/Form Guide, Yup'ik Eskimo Dictionary 2nd Edition by Steven A. Jacobson, http://yugtun.com/ 	Yes		Juliana Clark	2022-08-10
